item,price,description
Diet Mountain Dew® (16 fl oz),55.78,Uma opção saudável e equilibrada.
Diet Mountain Dew® (20 fl oz),45.07,Uma explosão de sabores em um só prato.
Diet Mountain Dew® (30 fl oz),42.75,Incrivelmente saboroso e gratificante.
Diet Pepsi® (12 fl oz),49.72,Incrivelmente saboroso e gratificante.
Diet Pepsi® (16 fl oz),40.25,Uma opção saudável e equilibrada.
Diet Pepsi® (20 fl oz),39.9,Sabor exótico que vai te surpreender.
Diet Pepsi® (30 fl oz),39.11,Sabor caseiro que aquece a alma.
Diet Pepsi® Wild Cherry Pepsi® (12 fl oz),55.14,Sabor exótico que vai te surpreender.
Diet Pepsi® Wild Cherry Pepsi® (16 fl oz),42.0,Sabores autênticos que aquecem o coração.
Diet Pepsi® Wild Cherry Pepsi® (20 fl oz),47.83,Sabor autêntico e suculento.
Diet Pepsi® Wild Cherry Pepsi® (30 fl oz),39.57,Uma explosão de sabores em cada mordida.
Dr Pepper® (12 fl oz),45.39,Para os amantes de bebidas geladas.
Dr Pepper® (16 fl oz),35.43,Sabor autêntico com ingredientes frescos.
Dr Pepper® (20 fl oz),43.08,Uma experiência refrescante e doce.
Dr Pepper® (30 fl oz),58.88,Uma combinação única de sabores e texturas.
Lipton® Brisk® Lemon Tea (12 fl oz),36.79,Sabor exótico que vai te surpreender.
Lipton® Brisk® Lemon Tea (16 fl oz),53.33,Uma experiência refrescante e doce.
Lipton® Brisk® Lemon Tea (20 fl oz),51.8,Sabores autênticos que aquecem o coração.
Lipton® Brisk® Lemon Tea (30 fl oz),36.49,Sabor autêntico e suculento.
Lipton® Brisk® No Calorie Peach Iced Green Tea (12 fl oz),30.45,Sinta o sabor do verão a cada gole.
Lipton® Brisk® No Calorie Peach Iced Green Tea (16 fl oz),45.73,Uma bebida gelada e revigorante.
Lipton® Brisk® No Calorie Peach Iced Green Tea (20 fl oz),51.48,Uma combinação perfeita de sabores e texturas.
Lipton® Brisk® No Calorie Peach Iced Green Tea (30 fl oz),39.05,Para os amantes de comida caseira.
Lipton® Brisk® Raspberry Tea (12 fl oz),44.0,Uma opção deliciosa e acolhedora.
Lipton® Brisk® Raspberry Tea (16 fl oz),58.02,Uma experiência refrescante e doce.
Lipton® Brisk® Raspberry Tea (20 fl oz),39.5,A escolha ideal para ocasiões especiais.
Lipton® Brisk® Raspberry Tea (30 fl oz),52.96,Sabor caseiro que aquece a alma.
Lipton® Brisk® Sweet Iced Tea (12 fl oz),50.76,Uma opção deliciosa e satisfatória.
Lipton® Brisk® Sweet Iced Tea (16 fl oz),44.46,Sabores autênticos que aquecem o coração.
Lipton® Brisk® Sweet Iced Tea (20 fl oz),56.69,Sabor caseiro que aquece a alma.
Lipton® Brisk® Sweet Iced Tea (30 fl oz),56.34,A escolha perfeita para um dia especial.
Lipton® Brisk® Unsweetened No Lemon Iced Tea (12 fl oz),41.97,"Leve e delicioso, perfeito para compartilhar."
Lipton® Brisk® Unsweetened No Lemon Iced Tea (16 fl oz),51.41,A escolha ideal para ocasiões especiais.
Lipton® Brisk® Unsweetened No Lemon Iced Tea (20 fl oz),58.45,Uma opção deliciosa e acolhedora.
Lipton® Brisk® Unsweetened No Lemon Iced Tea (30 fl oz),40.29,Sabores únicos que vão surpreender você.
Manzanita Sol® (12 fl oz),30.53,Para os amantes de bebidas geladas.
Manzanita Sol® (16 fl oz),58.35,Sabores únicos que vão surpreender você.
Manzanita Sol® (20 fl oz),34.15,Incrivelmente saboroso e gratificante.
Manzanita Sol® (30 fl oz),36.64,Uma opção saudável e equilibrada.
Miranda® Strawberry (12 fl oz),41.39,Uma explosão de sabores em um só prato.
Miranda® Strawberry (16 fl oz),47.36,Incrivelmente saboroso e gratificante.
Miranda® Strawberry (20 fl oz),36.01,Uma opção saudável e equilibrada.
Miranda® Strawberry (30 fl oz),37.72,Sabor exótico que vai te surpreender.
Mist Twst® (12 fl oz),55.94,A escolha ideal para ocasiões especiais.
Mist Twst® (16 fl oz),45.3,Uma explosão de sabores em cada mordida.
Mist Twst® (20 fl oz),43.49,Sabor exótico que você vai adorar.
Mist Twst® (30 fl oz),33.23,Uma combinação perfeita de sabores e texturas.
MNT DEW Sweet Lightning (20 fl oz),42.94,Sabor caseiro que aquece a alma.
Mountain Dew® (12 fl oz),40.08,Uma explosão de sabores em cada mordida.
Mountain Dew® (16 fl oz),47.98,"Leve e saboroso, perfeito a qualquer hora."
Mountain Dew® (20 fl oz),38.69,Para os amantes de bebidas geladas.
Mountain Dew® (30 fl oz),38.0,Sinta o sabor do verão a cada gole.
Mug Root Beer® (12 fl oz),44.74,Sinta o sabor da tradição em cada mordida.
Mug Root Beer® (16 fl oz),52.31,A escolha ideal para ocasiões especiais.
Mug Root Beer® (20 fl oz),46.22,Sinta o sabor da tradição em cada mordida.
Mug Root Beer® (30 fl oz),55.19,Uma opção deliciosa e satisfatória.
Pepsi Zero Sugar® (12 fl oz),34.82,Sabor exótico que vai te surpreender.
Pepsi Zero Sugar® (16 fl oz),39.96,Sinta o sabor da tradição em cada mordida.
Pepsi Zero Sugar® (20 fl oz),49.69,Sabores únicos que vão surpreender você.
Pepsi Zero Sugar® (30 fl oz),50.56,Uma opção refrescante e saudável.
Pepsi® (12 fl oz),43.62,Sabor caseiro que aquece a alma.
Pepsi® (16 fl oz),33.0,Sabor exótico que vai te surpreender.
Pepsi® (20 fl oz),46.6,Incrivelmente saboroso e gratificante.
Pepsi® (30 fl oz),30.72,"Leve e delicioso, perfeito para compartilhar."
Sobe Lifewater Yumberry Pomegranate (12 fl oz),50.66,A escolha ideal para ocasiões especiais.
Sobe Lifewater Yumberry Pomegranate (16 fl oz),52.58,Sabor caseiro que aquece a alma.
Sobe Lifewater Yumberry Pomegranate (20 fl oz),42.17,"Leve e delicioso, perfeito para compartilhar."
Sobe Lifewater Yumberry Pomegranate (30 fl oz),59.01,Uma opção deliciosa e acolhedora.
Strawberry Lemonade (1/2 Gallon),33.39,A combinação perfeita de doçura e frutas.
Strawberry Lemonade (20 fl oz),38.67,Uma experiência refrescante e doce.
Tropicana® Fruit Punch (12 fl oz),53.76,Uma opção deliciosa e acolhedora.
Tropicana® Fruit Punch (16 fl oz),55.92,A escolha ideal para ocasiões especiais.
Tropicana® Fruit Punch (20 fl oz),38.05,Uma opção deliciosa e acolhedora.
Tropicana® Fruit Punch (30 fl oz),42.06,Uma combinação perfeita de sabores e texturas.
Tropicana® Light Lemonade (12 fl oz),45.89,"Leve e delicioso, perfeito para compartilhar."
Tropicana® Light Lemonade (16 fl oz),50.4,Sabores autênticos que aquecem o coração.
Tropicana® Light Lemonade (20 fl oz),39.54,Sabor autêntico e suculento.
Tropicana® Light Lemonade (30 fl oz),42.79,Uma opção deliciosa e acolhedora.
Tropicana® Pink Lemonade (12 fl oz),35.87,Sinta o sabor do verão a cada gole.
Tropicana® Pink Lemonade (16 fl oz),58.21,O acompanhamento perfeito para qualquer refeição.
Tropicana® Pink Lemonade (20 fl oz),30.33,Uma bebida gelada e revigorante.
Tropicana® Pink Lemonade (30 fl oz),33.49,Sabores autênticos que aquecem o coração.
Tropicana® Twister® Orange (12 fl oz),46.97,Uma combinação perfeita de sabores e texturas.
Tropicana® Twister® Orange (16 fl oz),31.88,Para os amantes de bebidas geladas.
Tropicana® Twister® Orange (20 fl oz),54.89,Sabor autêntico e suculento.
Tropicana® Twister® Orange (30 fl oz),38.25,Para os amantes de comida caseira.
Wild Cherry Pepsi® (12 fl oz),50.21,Uma opção deliciosa e acolhedora.
Wild Cherry Pepsi® (16 fl oz),43.96,Uma bebida gelada e revigorante.
Wild Cherry Pepsi® (20 fl oz),34.99,A escolha ideal para ocasiões especiais.
Wild Cherry Pepsi® (30 fl oz),51.43,Incrivelmente refrescante e saboroso.
Country Fried Steak without Peppered White Gravy,33.89,Para os amantes de comida caseira.
Country Fried Steak with Peppered White Gravy,56.56,Uma opção deliciosa e acolhedora.
KFC® Gizzards,35.86,Uma bebida gelada e revigorante.
KFC® Livers,36.51,Perfeito para quem gosta de sabores picantes.
