item,price,description
Hand Tossed Slices Pepperoni Lover’s® Small,46.11,Uma bebida gelada e revigorante.
Hand Tossed Slices Pepperoni Lover’s® Medium,59.72,Molhos deliciosos para realçar seus pratos.
Hand Tossed Slices Pepperoni Lover’s® Large,45.19,Sabor exótico que vai te surpreender.
Hand Tossed Slices Supreme Small,39.86,Uma experiência refrescante e doce.
Hand Tossed Slices Supreme Medium,41.64,Incrivelmente refrescante e saboroso.
Hand Tossed Slices Supreme Large,32.6,Para os amantes de bebidas geladas.
Hand Tossed Slices Ultimate Cheese Lover’s® Small,33.58,"Leve e delicioso, perfeito para compartilhar."
Hand Tossed Slices Ultimate Cheese Lover’s® Medium,39.43,Uma combinação perfeita de sabores e texturas.
Hand Tossed Slices Ultimate Cheese Lover’s® Large,58.28,Sabor autêntico com ingredientes frescos.
Hand Tossed Slices Veggie Lover’s® Small,51.06,"Leve e delicioso, perfeito para compartilhar."
Hand Tossed Slices Veggie Lover’s® Medium,43.03,Molhos deliciosos para realçar seus pratos.
Hand Tossed Slices Veggie Lover’s® Large,50.63,Sabor exótico que vai te surpreender.
